Plant_ID,Date,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Growth Days,Temperature (°F),Growth Weeks,Normalized Humidity,Humidity Level
1,2023-08-03,33.4,53,582,6.4,1,92.11999999999999,0.14,0.1,Moderate
1,2023-08-04,33.5,53,451,6.1,2,92.3,0.29,0.1,Moderate
1,2023-08-05,33.4,59,678,6.4,3,92.11999999999999,0.43,0.3,Moderate
1,2023-08-06,33.4,68,420,6.4,4,92.11999999999999,0.57,0.6,High
1,2023-08-07,33.4,74,637,6.5,5,92.11999999999999,0.71,0.8,High
1,2023-08-08,32.3,77,478,6.8,6,90.14,0.86,0.9,High
1,2023-08-09,32.3,75,682,6.0,7,90.14,1.0,0.8333333333333334,High
1,2023-08-10,22.7,63,576,6.3,8,72.86,1.14,0.43333333333333335,High
1,2023-08-11,31.9,69,662,6.1,9,89.41999999999999,1.29,0.6333333333333333,High
1,2023-08-12,30.2,59,607,6.2,10,86.36,1.43,0.3,Moderate
1,2023-08-13,30.1,77,670,6.5,11,86.18,1.57,0.9,High
1,2023-08-14,30.1,54,535,6.4,12,86.18,1.71,0.13333333333333333,Moderate
1,2023-08-15,30.1,78,480,6.0,13,86.18,1.86,0.9333333333333333,High
1,2023-08-16,29.8,56,688,6.4,14,85.64,2.0,0.2,Moderate
1,2023-08-17,29.6,62,653,6.6,15,85.28,2.14,0.4,High
1,2023-08-18,30.9,70,742,6.1,16,87.61999999999999,2.29,0.6666666666666666,High
1,2023-08-19,30.8,57,580,6.2,17,87.44,2.43,0.23333333333333334,Moderate
1,2023-08-20,30.9,78,789,6.5,18,87.61999999999999,2.57,0.9333333333333333,High
1,2023-08-21,30.2,63,516,6.0,19,86.36,2.71,0.43333333333333335,High
1,2023-08-22,30.5,51,527,6.4,20,86.9,2.86,0.03333333333333333,Moderate
1,2023-08-23,30.8,57,669,6.2,21,87.44,3.0,0.23333333333333334,Moderate
1,2023-08-24,31.3,73,645,6.6,22,88.34,3.14,0.7666666666666667,High
1,2023-08-25,31.4,52,744,6.8,23,88.52,3.29,0.06666666666666667,Moderate
1,2023-08-26,31.4,61,719,6.4,24,88.52,3.43,0.36666666666666664,High
1,2023-08-27,30.1,77,589,6.7,25,86.18,3.57,0.9,High
1,2023-08-28,29.4,71,654,6.4,26,84.91999999999999,3.71,0.7,High
1,2023-08-29,28.7,64,451,6.4,27,83.66,3.86,0.4666666666666667,High
1,2023-08-30,29.1,51,623,6.6,28,84.38000000000001,4.0,0.03333333333333333,Moderate
1,2023-08-31,29.2,55,680,6.7,29,84.56,4.14,0.16666666666666666,Moderate
1,2023-09-01,31.7,50,601,6.4,30,89.06,4.29,0.0,Moderate
1,2023-09-02,31.7,52,603,6.7,31,89.06,4.43,0.06666666666666667,Moderate
1,2023-09-03,31.7,76,762,6.7,32,89.06,4.57,0.8666666666666667,High
1,2023-09-04,31.7,55,517,6.0,33,89.06,4.71,0.16666666666666666,Moderate
1,2023-09-05,32.0,55,743,6.6,34,89.6,4.86,0.16666666666666666,Moderate
1,2023-09-06,32.1,76,709,6.0,35,89.78,5.0,0.8666666666666667,High
1,2023-09-07,31.5,68,416,6.2,36,88.7,5.14,0.6,High
1,2023-09-08,29.8,68,577,6.3,37,85.64,5.29,0.6,High
1,2023-09-09,20.1,61,621,6.5,38,68.18,5.43,0.36666666666666664,High
1,2023-09-10,31.1,64,478,6.0,39,87.98,5.57,0.4666666666666667,High
1,2023-09-11,31.2,79,672,6.3,40,88.16,5.71,0.9666666666666667,High
1,2023-09-12,31.2,62,576,6.7,41,88.16,5.86,0.4,High
1,2023-09-13,30.4,57,726,6.1,42,86.72,6.0,0.23333333333333334,Moderate
1,2023-09-14,29.1,75,636,6.8,43,84.38000000000001,6.14,0.8333333333333334,High
1,2023-09-15,30.6,55,688,6.6,44,87.08000000000001,6.29,0.16666666666666666,Moderate
1,2023-09-16,31.5,68,637,6.2,45,88.7,6.43,0.6,High
2,2023-08-03,33.4,74,586,6.1,1,92.11999999999999,0.14,0.8,High
2,2023-08-04,33.5,65,433,6.8,2,92.3,0.29,0.5,High
2,2023-08-05,33.4,55,749,6.7,3,92.11999999999999,0.43,0.16666666666666666,Moderate
2,2023-08-06,33.4,68,680,6.8,4,92.11999999999999,0.57,0.6,High
2,2023-08-07,33.4,50,488,6.4,5,92.11999999999999,0.71,0.0,Moderate
2,2023-08-08,32.3,78,697,6.3,6,90.14,0.86,0.9333333333333333,High
2,2023-08-09,32.3,77,624,6.6,7,90.14,1.0,0.9,High
2,2023-08-10,22.7,57,593,6.5,8,72.86,1.14,0.23333333333333334,Moderate
2,2023-08-11,31.9,73,564,6.1,9,89.41999999999999,1.29,0.7666666666666667,High
2,2023-08-12,30.2,65,416,6.6,10,86.36,1.43,0.5,High
2,2023-08-13,30.1,71,664,6.4,11,86.18,1.57,0.7,High
2,2023-08-14,30.1,65,746,6.8,12,86.18,1.71,0.5,High
2,2023-08-15,30.1,75,646,6.3,13,86.18,1.86,0.8333333333333334,High
2,2023-08-16,29.8,58,413,6.5,14,85.64,2.0,0.26666666666666666,Moderate
2,2023-08-17,29.6,50,487,6.7,15,85.28,2.14,0.0,Moderate
2,2023-08-18,30.9,79,564,6.2,16,87.61999999999999,2.29,0.9666666666666667,High
2,2023-08-19,30.8,56,430,6.5,17,87.44,2.43,0.2,Moderate
2,2023-08-20,30.9,71,527,6.2,18,87.61999999999999,2.57,0.7,High
2,2023-08-21,30.2,51,704,6.3,19,86.36,2.71,0.03333333333333333,Moderate
2,2023-08-22,30.5,62,732,6.3,20,86.9,2.86,0.4,High
2,2023-08-23,30.8,69,420,6.5,21,87.44,3.0,0.6333333333333333,High
2,2023-08-24,31.3,54,608,6.3,22,88.34,3.14,0.13333333333333333,Moderate
2,2023-08-25,31.4,58,687,6.3,23,88.52,3.29,0.26666666666666666,Moderate
2,2023-08-26,31.4,64,529,6.2,24,88.52,3.43,0.4666666666666667,High
2,2023-08-27,30.1,78,427,6.3,25,86.18,3.57,0.9333333333333333,High
2,2023-08-28,29.4,57,780,6.4,26,84.91999999999999,3.71,0.23333333333333334,Moderate
2,2023-08-29,28.7,57,508,6.2,27,83.66,3.86,0.23333333333333334,Moderate
2,2023-08-30,29.1,58,603,6.6,28,84.38000000000001,4.0,0.26666666666666666,Moderate
2,2023-08-31,29.2,56,581,6.7,29,84.56,4.14,0.2,Moderate
2,2023-09-01,31.7,56,622,6.4,30,89.06,4.29,0.2,Moderate
2,2023-09-02,31.7,73,598,6.5,31,89.06,4.43,0.7666666666666667,High
2,2023-09-03,31.7,57,597,6.2,32,89.06,4.57,0.23333333333333334,Moderate
2,2023-09-04,31.7,61,498,6.0,33,89.06,4.71,0.36666666666666664,High
2,2023-09-05,32.0,63,569,6.4,34,89.6,4.86,0.43333333333333335,High
2,2023-09-06,32.1,75,697,6.3,35,89.78,5.0,0.8333333333333334,High
2,2023-09-07,31.5,77,627,6.6,36,88.7,5.14,0.9,High
2,2023-09-08,29.8,61,537,6.6,37,85.64,5.29,0.36666666666666664,High
2,2023-09-09,20.1,63,785,6.3,38,68.18,5.43,0.43333333333333335,High
2,2023-09-10,31.1,70,428,6.7,39,87.98,5.57,0.6666666666666666,High
2,2023-09-11,31.2,56,797,6.8,40,88.16,5.71,0.2,Moderate
2,2023-09-12,31.2,66,657,6.8,41,88.16,5.86,0.5333333333333333,High
2,2023-09-13,30.4,75,473,6.6,42,86.72,6.0,0.8333333333333334,High
2,2023-09-14,29.1,72,689,6.3,43,84.38000000000001,6.14,0.7333333333333333,High
2,2023-09-15,30.6,52,681,6.3,44,87.08000000000001,6.29,0.06666666666666667,Moderate
2,2023-09-16,31.5,79,719,6.7,45,88.7,6.43,0.9666666666666667,High
3,2023-08-03,33.4,51,667,6.2,1,92.11999999999999,0.14,0.03333333333333333,Moderate
3,2023-08-04,33.5,63,632,6.1,2,92.3,0.29,0.43333333333333335,High
3,2023-08-05,33.4,65,636,6.7,3,92.11999999999999,0.43,0.5,High
3,2023-08-06,33.4,62,525,6.6,4,92.11999999999999,0.57,0.4,High
3,2023-08-07,33.4,65,735,6.0,5,92.11999999999999,0.71,0.5,High
3,2023-08-08,32.3,80,794,6.4,6,90.14,0.86,1.0,High
3,2023-08-09,32.3,80,691,6.2,7,90.14,1.0,1.0,High
3,2023-08-10,22.7,65,783,6.6,8,72.86,1.14,0.5,High
3,2023-08-11,31.9,62,531,6.7,9,89.41999999999999,1.29,0.4,High
3,2023-08-12,30.2,69,473,6.4,10,86.36,1.43,0.6333333333333333,High
3,2023-08-13,30.1,55,745,6.1,11,86.18,1.57,0.16666666666666666,Moderate
3,2023-08-14,30.1,80,569,6.3,12,86.18,1.71,1.0,High
3,2023-08-15,30.1,63,743,6.3,13,86.18,1.86,0.43333333333333335,High
3,2023-08-16,29.8,69,566,6.1,14,85.64,2.0,0.6333333333333333,High
3,2023-08-17,29.6,53,671,6.6,15,85.28,2.14,0.1,Moderate
